stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
BALL PEIN HAMMER 500 GRM TAPARIA,2,4,3,208,484,830,623,PINCH
T ALLEN KEY 4 TAPARIA,5,10,10,47,237,474,474,PINCH
RING SPANNER 12 X 13 TAPARIA,9,10,8,50,448,498,398,PINCH
HSS LONG DRILL 2.5 MIRANDA,110,30,2,161,"17,705","4,829",322,PINCH
NIPPER CUTTER 07 MULTITEC,40,40,6,46,"1,848","1,848",277,PINCH
"ROUND DIE HANDLE 1""",2,10,3,90,180,899,270,PINCH
RING SPANNER 18 X 19 TAPARIA,9,10,3,85,790,846,254,PINCH
D SPANNER 14 X 15 TAPARIA,4,10,9,24,104,240,216,PINCH
D SPANNER 12 X 13 TAPARIA,9,10,6,23,201,228,137,PINCH
RING SPANNER 16 X 17 TAPARIA,13,10,1,67,851,672,67,PINCH
RING SPANNER 14 X 15 TAPARIA,5,10,1,55,285,552,55,PINCH
D SPANNER 8 X 9 TAPARIA,3,10,3,18,51,180,54,PINCH
570-412 DIGIMATIC HEIGHT GAUGE 300 mm,0,0,0,0,0,0,0,STARVE ZERO
"ADJUSTABLE WRENCH 10"" (1172) TAPARIA",4,0,1,0,0,0,0,STARVE CRITICAL
"ADJUSTABLE WRENCH 12"" (1173) TAPARIA",5,0,4,0,0,0,0,STARVE ZERO
"ADJUSTABLE WRENCH 8"" (1171) TAPARIA",6,0,0,0,0,0,0,STARVE ZERO
AEROSOL-OS,52,0,0,0,0,0,0,STARVE ZERO
AG- 4 (4mm) BIPICO,4,0,4,0,0,0,0,STARVE WATCH
AG- 4 (4mm) JK,2,0,1,0,0,0,0,STARVE CRITICAL
AG-4 (4mm) (C414033AZ) HIKOKI,292,0,1,0,0,0,0,STARVE CRITICAL
AG-4 (4mm) XPERT QUICK CUT GNL,593,0,40,0,0,0,0,STARVE CRITICAL
AG-4 (6mm) BEAR BLACK GNL,267,0,0,0,0,0,0,STARVE ZERO
AG-4 (6mm) DURA+BLACK DURAKUT,50,0,23,0,0,0,0,STARVE CRITICAL
AG-4 (6mm) LONG LIFE PERFORMER,1,0,0,0,0,0,0,STARVE ZERO
AG-4 2.5 mm Green Stainless Steel G60 GNL,33,0,0,0,0,0,0,STARVE ZERO
AG-4 3 mm Stainless Steel G60 DURA PLUS,25,0,0,0,0,0,0,STARVE ZERO
AG-5 (6mm) (700125Z) HIKOKI,279,0,0,0,0,0,0,STARVE ZERO
AG-5 XPERT QUICK CUT GNL,60,0,59,0,0,0,0,STARVE WATCH
AG-5 XPERT RAPID DXR66 GNL,21,0,0,0,0,0,0,STARVE ZERO
AG-7 SPITFIRE R44T GNL,80,0,0,0,0,0,0,STARVE ZERO
AG-7 XPERT RAPID (DXR77) GNL,7,0,3,0,0,0,0,STARVE CRITICAL
AG-9 XPERT (FOUNDRY) GNL,17,0,0,0,0,0,0,STARVE ZERO
AIR BELT SANDER 10MM,0,0,0,0,0,0,0,STARVE ZERO
AIR GUN AG-ASB,2,0,1,0,0,0,0,STARVE CRITICAL
"ALKON DISC 5"" G80 BEAR GNL",150,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 100 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 120 MFL,42,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 130 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 140 MFL,25,0,0,0,0,0,0,STARVE ZERO
ALLEN BOLT 10 X 30 MFL,67,0,0,0,0,0,0,STARVE ZERO
