stock_item_name,sales_qty_6m_avg,purchase_qty_1m,closing_stock_qty,purchase_rate,sales_amount,purchase_amount,closing_stock_amount,scenario_name
BIMETAL BANDSAW 3760 X 27 X .9 4/6 TPI CL LENOX,21,0,3,0,0,0,0,STARVE CRITICAL
BIMETAL BANDSAW 4100 X 34 X 1.1 8/12 TPI BASIC WIKUS,0,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 4115 X 34 X 1.07 4/6 TPI QXP LENOX,0,0,0,0,0,0,0,STARVE ZERO
"BIMETAL BANDSAW 4115 X 34 X 1.1 4/6 TPI ""H1"" MEBA",1,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 4300 X 34 X 1.1 4/6 TPI ECOFLEX WIKUS,3,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 4420 X 34 X 1.1 2/3 TPI BASIC WIKUS,2,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 5120 X 41 X 1.27 X 2/3 CONTESTOR LENOX,1,0,0,0,0,0,0,STARVE ZERO
BIMETAL BANDSAW 7220 X 20 X .9 10-14 TPI ECOFLEX WIKUS,67,0,0,0,0,0,0,STARVE ZERO
BLACK GLASS LOCAL,5,0,0,0,0,0,0,STARVE ZERO
BLACK GOGGLES,17,0,8,0,0,0,0,STARVE CRITICAL
BORE GAUGE 511-702 MITUTOYO,0,0,0,0,0,0,0,STARVE ZERO
BORESMART CUTTER 22 BIPICO,2,0,0,0,0,0,0,STARVE ZERO
BORESMART CUTTER 25 BIPICO,2,0,1,0,0,0,0,STARVE WATCH
BORING BAR 16 STFCL 16 (TCMT) IMP,0,0,0,0,0,0,0,STARVE ZERO
BORING BAR 16 STFCR 16 (TCMT) IND,0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 3 mm ""J""",2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 3 mm ""L""",1,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 3 mm ""S""",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 3 mm ""T""",2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 4 mm ""I""",1,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 4 mm ""J""",2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 4 mm ""L""",1,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 4 mm ""S""",2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 4 mm ""T""",2,0,0,0,0,0,0,STARVE ZERO
BRADMA PUNCH HHP 6 mm,8,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 6 mm ""I""",2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 6 mm ""J""",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 6 mm ""L""",2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 6 mm ""S""",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH HHP 6 mm ""T""",4,0,0,0,0,0,0,STARVE ZERO
BRADMA PUNCH HHP 6 mm 9,2,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH SET 0 TO 8 ""3"" mm",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH SET 0 TO 8 ""4""mm",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH SET 0 TO 8 ""6"" mm",2,0,1,0,0,0,0,STARVE WATCH
"BRADMA PUNCH SET 0 TO 8 ""8"" mm",0,0,0,0,0,0,0,STARVE ZERO
BRADMA PUNCH SET 26HHP TELESIS CALLIGRAPHY 7 mm,0,0,0,0,0,0,0,STARVE ZERO
BRADMA PUNCH SET 9HHP TELESIS CALLIGRAPHY 7 mm,0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH SET A TO Z ""10"" mm",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH SET A TO Z ""4"" mm",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH SET A TO Z ""6"" mm",1,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH T030 ""C""",1,0,1,0,0,0,0,STARVE WATCH
"BRADMA PUNCH T030 ""N""",0,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH T062 ""1""",8,0,2,0,0,0,0,STARVE CRITICAL
"BRADMA PUNCH T062 ""2""",5,0,0,0,0,0,0,STARVE ZERO
"BRADMA PUNCH T062 ""6""",3,0,3,0,0,0,0,STARVE WATCH
"BRADMA PUNCH T062 ""9""",3,0,1,0,0,0,0,STARVE CRITICAL
"BRADMA PUNCH T062 ""DASH""",1,0,25,0,0,0,0,STARVE CRITICAL
"BRASS NOZZLE 1/4"" X 8 mm",8,0,0,0,0,0,0,STARVE ZERO
BRASS NOZZLE 1/8'' X 6 mm,8,0,0,0,0,0,0,STARVE ZERO
"BRUSH 1""",14,0,1,0,0,0,0,STARVE CRITICAL
"BRUSH 2""",15,0,5,0,0,0,0,STARVE CRITICAL
"BRUSH 7""",130,0,0,0,0,0,0,STARVE ZERO
BT30 ER25-70 HOLDER,0,0,0,0,0,0,0,STARVE ZERO
BT30 FMC 22-90,0,0,0,0,0,0,0,STARVE ZERO
BT40 SLA 32,0,0,0,0,0,0,0,STARVE ZERO
BTJNL 2525 M16,1,0,0,0,0,0,0,STARVE ZERO
BTJNR 2525 M16,0,0,0,0,0,0,0,STARVE ZERO
BTUNL M16 S25R,1,0,0,0,0,0,0,STARVE ZERO
BUFFING BRASS WIRE BRUSH,146,0,80,0,0,0,0,STARVE WATCH
BUTANE GAS,0,0,0,0,0,0,0,STARVE ZERO
BUTANE GAS NOZZLE,0,0,0,0,0,0,0,STARVE ZERO
BWLNL 2525 M08,1,0,0,0,0,0,0,STARVE ZERO
C BURR SET 2,3,0,0,0,0,0,0,STARVE ZERO
"C CLAMP 12"" (1266) TAPARIA",1,0,0,0,0,0,0,STARVE ZERO
"C CLAMP 3"" (1260) TAPARIA",0,0,0,0,0,0,0,STARVE ZERO
"C CLAMP 6"" (1263) TAPARIA",1,0,1,0,0,0,0,STARVE WATCH
C-1 CERAMIC BLADE,72,0,1,0,0,0,0,STARVE CRITICAL
CABLE CUTTER CC 10 TAPARIA,0,0,2,0,0,0,0,STARVE ZERO
CARBIDE TIP TOOL ISO6 2020 P30 MIRANDA,13,0,1,0,0,0,0,STARVE CRITICAL
CARBIDE TIP TOOL ISO9 1212 MIRANDA,1,0,0,0,0,0,0,STARVE ZERO
CARBIDE TIP TOOL ISO9 2020 K20,1,0,0,0,0,0,0,STARVE ZERO
CARBON BANDSAW 3/4 X 6 TPI BIPICO,4,0,1,0,0,0,0,STARVE CRITICAL
CARBON BLADE 12 X 1/2,50,0,0,0,0,0,0,STARVE ZERO
CARBON BRUSH - 21 FOR (PDA100M/125M) HIKOKI,9,0,1,0,0,0,0,STARVE CRITICAL
CARBON BRUSH FOR (CC14STD) HOKOKI,2,0,0,0,0,0,0,STARVE ZERO
CARBON BUSH - GWS 6-100 1.607.014.145 BOSCH,2,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 10 mm SOLAR,0,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 11 mm SOLAR,0,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 5 mm SOLAR,0,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 6 mm SOLAR,0,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 7 mm SOLAR,0,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 8 mm SOLAR,2,0,0,0,0,0,0,STARVE ZERO
CBN MOUNTED POINT 9 mm SOLAR,1,0,0,0,0,0,0,STARVE ZERO
CCMT 060202 NLU AC6040M,2,0,0,0,0,0,0,STARVE ZERO
CCMT 060208 NSU AC630M,50,0,0,0,0,0,0,STARVE ZERO
CCMW 09T304 DA2200,2,0,0,0,0,0,0,STARVE ZERO
CG-2 (38124),0,0,0,0,0,0,0,STARVE ZERO
CHAIN 19-11 RENOLD,0,0,0,0,0,0,0,STARVE ZERO
"CHISELS 12"" (107) TAPARIA",0,0,0,0,0,0,0,STARVE ZERO
"CIRCLIP PLIER 7"" BENT NOSE 1442-7C TAPARIA",2,0,0,0,0,0,0,STARVE ZERO
"CIRCLIP PLIER 7"" INT",1,0,0,0,0,0,0,STARVE ZERO
CNMA 120412 AC415 K,8,0,0,0,0,0,0,STARVE ZERO
COLLET A25.5,0,0,0,0,0,0,0,STARVE ZERO
COLLET E-40 10 TRUMIL,1,0,2,0,0,0,0,STARVE ZERO
"COMBINATION STONE 6"" JK",6,0,0,0,0,0,0,STARVE ZERO
CORDLESS DRIVER DRILL MACHINE 18V (DS18DGSB) HIKOKI,1,0,0,0,0,0,0,STARVE ZERO
CORDLESS IMPACT DRIVER (WH7DLSLZ) HIKOKI,2,0,0,0,0,0,0,STARVE ZERO
CRANK HOLDER (62092),0,0,0,0,0,0,0,STARVE ZERO
"CRYSTAL MAGNETIC V BLOCK 4"" 100 X 95 X 70 AA-1801H",0,0,0,0,0,0,0,STARVE ZERO
CS-R HOLDER,1,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 12 X 50 MFL,67,0,0,0,0,0,0,STARVE ZERO
"CSK SCREW 3/16 X 1""",25,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 6 X 12 MFL,167,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 6 X 20 MFL,167,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 6 X 25 MFL,167,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 6 X 30 MFL,167,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 8 X 16 MFL,167,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 8 X 20 MFL,133,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 8 X 25 MFL,133,0,0,0,0,0,0,STARVE ZERO
CSK SCREW 8 X 30 MFL,133,0,0,0,0,0,0,STARVE ZERO
CUP WHEEL 100 X 50 X 31.75 AA46/54 CARBORUNDUM,0,0,0,0,0,0,0,STARVE ZERO
CUT OFF WHEEL 100 X 1 X 16 (RXL11) BLACK GNL,854,0,295,0,0,0,0,STARVE CRITICAL
CUT OFF WHEEL 100 X 3 X 16 (RX41) GNL,211,0,150,0,0,0,0,STARVE WATCH
CUT OFF WHEEL 107 X 1 X 16 (2) NET GREEN DURAKUT,317,0,152,0,0,0,0,STARVE CRITICAL
CUT OFF WHEEL 107 X 1 X 16 DIAMOND GREEN & RED DURAKUT,708,0,148,0,0,0,0,STARVE CRITICAL
CUT OFF WHEEL 107 X 1 X 16 HYBRID (2) GREEN DURAKUT,508,0,0,0,0,0,0,STARVE ZERO
CUT OFF WHEEL 125 X 1 X 22.23 (LTGN15) GREEN GNL,242,0,0,0,0,0,0,STARVE ZERO
CUT OFF WHEEL 125 X 1.2 X 22 JK,61,0,7,0,0,0,0,STARVE CRITICAL
CUT OFF WHEEL 125 X 1.2 X 22.23 MASTER GREEN DURAKUT,8,0,0,0,0,0,0,STARVE ZERO
CUT OFF WHEEL 125 X 1.2 X 22.23 PLUS GREEN DURAKUT,58,0,0,0,0,0,0,STARVE ZERO
"CUT OFF WHEEL 14"" GREEN JK",83,0,0,0,0,0,0,STARVE ZERO
"CUT OFF WHEEL 14"" X 2.5 X 25.4 KUT & MAKE YURI",7,0,0,0,0,0,0,STARVE ZERO
"CUT OFF WHEEL 14"" X 2.6 X 25.4 (LTGP35) GNL",46,0,0,0,0,0,0,STARVE ZERO
"CUT OFF WHEEL 14"" X 2.8 X 25.4 (RXR35R) GNL",421,0,67,0,0,0,0,STARVE CRITICAL
"CUT OFF WHEEL 16"" X 4 X 25.4 (R56) GNL",3,0,1,0,0,0,0,STARVE CRITICAL
CUT OFF WHEEL 180 X 1.6 X 22.23 CHAMP GNL,111,0,0,0,0,0,0,STARVE ZERO
CUT OFF WHEEL 63 X 2.5 X 10 GNL,5,0,0,0,0,0,0,STARVE ZERO
D SPANNER 16 X 17 TAPARIA,7,0,0,0,0,0,0,STARVE ZERO
D SPANNER 18 X 19 TAPARIA,7,0,7,0,0,0,0,STARVE WATCH
DCGW 11T308 DA90,16,0,0,0,0,0,0,STARVE ZERO
DCLNL 2525 M12,0,0,9,0,0,0,0,STARVE CRITICAL
DCMW 11T304 DA2200,2,0,0,0,0,0,0,STARVE ZERO
DCMW 11T308 N40 DA2200,17,0,0,0,0,0,0,STARVE ZERO
DEAD CENTRE MT-3 COLLER TYPE TRUMAX,1,0,0,0,0,0,0,STARVE ZERO
DEGREE PROTRACTOR D- HEAD 1501,0,0,0,0,0,0,0,STARVE ZERO
DIAL STAND MAGNETIC 6201-60,0,0,0,0,0,0,0,STARVE ZERO
DIAMOND DRESSER NR 3584 - OC/3 NR770 GNL,1,0,0,0,0,0,0,STARVE ZERO
DIAMOND PASTE,1,0,0,0,0,0,0,STARVE ZERO
DIAMOND PASTE D-1,21,0,0,0,0,0,0,STARVE ZERO
DIAMOND WHEEL 100 X 35 X 31.75 U/10 SOLAR,0,0,0,0,0,0,0,STARVE ZERO
DIAMOND WHEEL 150 X 12 X 31.75 SA3 GNL,0,0,0,0,0,0,0,STARVE ZERO
DIAMOND WHEEL 150 X 6 X 31.75,0,0,0,0,0,0,0,STARVE ZERO
"DIE 1"" BSF OD 2""",0,0,0,0,0,0,0,STARVE ZERO
DIE 14 X 1.25,1,0,0,0,0,0,0,STARVE ZERO
"DIE 20 X 1.5 OD 1-1/2""",1,0,0,0,0,0,0,STARVE ZERO
DIGIMATIC VERNIER 0-300 mm 500-754/173,0,0,0,0,0,0,0,STARVE ZERO
DIGITAL VERNIER 1112-300,0,0,0,0,0,0,0,STARVE ZERO
DISC WHEEL 150 X 13 X 31.75 38A60 GNL,1,0,0,0,0,0,0,STARVE ZERO
DOUBLE SIDED PE FOAM TAPE 12 X 10 GNL,672,0,0,0,0,0,0,STARVE ZERO
DOWEL PIN 10 X 300,17,0,20,0,0,0,0,STARVE ZERO
DOWEL PIN 12 X 300,18,0,0,0,0,0,0,STARVE ZERO
DOWEL PIN 14 X 300,2,0,2,0,0,0,0,STARVE ZERO
DOWEL PIN 16 X 300,8,0,0,0,0,0,0,STARVE ZERO
DOWEL PIN 20 X 300,8,0,0,0,0,0,0,STARVE ZERO
DOWEL PIN 6 X 300,52,0,20,0,0,0,0,STARVE CRITICAL
"DRILL CHUCK 1/2"" X 20 UNF BOSCH",1,0,1,0,0,0,0,STARVE ZERO
DRILL CHUCK ARBOUR R8 JT-6 TRUMIL,0,0,0,0,0,0,0,STARVE ZERO
DRILL COLLET,1,0,0,0,0,0,0,STARVE ZERO
DRILL MACHINE 10MM  450 W (D10VSTAS9Z) HIKOKI,3,0,1,0,0,0,0,STARVE CRITICAL
DT-1 DEBURRING TOOL HANDLE,32,0,0,0,0,0,0,STARVE ZERO
EAR PLUG 3,17,0,100,0,0,0,0,STARVE ZERO
EMERY BELT 10 X 330 G80 NORZON GNL,83,0,0,0,0,0,0,STARVE ZERO
EMERY BELT 100 X 1080 G60 DEERFOS,50,0,2,0,0,0,0,STARVE CRITICAL
EMERY BELT 150 X 1220 G80 ALKON AB44 GNL,17,0,0,0,0,0,0,STARVE ZERO
EMERY BELT 20 X 520 G80 NORZON GNL,78,0,30,0,0,0,0,STARVE CRITICAL
EMERY BELT 50 X 2000 G120 ALKON GNL,2,0,10,0,0,0,0,STARVE ZERO
EMERY BELT 50 X 2000 G36 NORZON GNL,165,0,0,0,0,0,0,STARVE ZERO
EMERY BELT 50 X 3500 G60 ALKON GNL,29,0,5,0,0,0,0,STARVE CRITICAL
EMERY BELT 915 X 100 G60 ALKON GNL,0,0,0,0,0,0,0,STARVE ZERO
EMERY CLOTH MEDIUM AJAX,106,0,5,0,0,0,0,STARVE CRITICAL
EMERY CLOTH ROLLS 100 X 120 DEERFOS,0,0,0,0,0,0,0,STARVE ZERO
EMERY CLOTH ROLLS 100 X 320 DEERFOS,0,0,0,0,0,0,0,STARVE ZERO
ER11 COLLET 1-2 TURNMAX,2,0,3,0,0,0,0,STARVE WATCH
ER16 COLLET 6-7 TURNMAX,1,0,1,0,0,0,0,STARVE WATCH
ER20 COLLET 3-4 TURNMAX,2,0,4,0,0,0,0,STARVE ZERO
ER40 COLLET,0,0,0,0,0,0,0,STARVE ZERO
ER8 COLLET,1,0,1,0,0,0,0,STARVE WATCH
ER8 NUT MINI,0,0,0,0,0,0,0,STARVE ZERO
EXTENSION BAR 1753 TAPARIA,2,0,0,0,0,0,0,STARVE ZERO
EXTENSION ROD FOR PUPPY DIAL,0,0,0,0,0,0,0,STARVE ZERO
FELT DISC 100 X 12.5 X 16 F1 (PXF41) GNL,29,0,21,0,0,0,0,STARVE WATCH
FEVIBOND TUBE 90 ML,171,0,60,0,0,0,0,STARVE CRITICAL
FEVICOL SR998,0,0,0,0,0,0,0,STARVE ZERO
FILLER GAUGE 0.02 TO .05 mm (SET OF 17 PCS) INSIZE,1,0,0,0,0,0,0,STARVE ZERO
FILLER WIRE 1.2 SS304L (5KG) SUPER TIG SUPERON,0,0,0,0,0,0,0,STARVE ZERO
FILLER WIRE 2 SS304L (5KG) SUPER TIG SUPERON,1,0,0,0,0,0,0,STARVE ZERO
FILLER WIRE 2 SS309L (5KG) SUPER TIG SUPERON,0,0,0,0,0,0,0,STARVE ZERO
FILLER WIRE 3.2 SS304L (5KG) SUPER TIG SUPERON,0,0,0,0,0,0,0,STARVE ZERO
"FLAP DISK 4"" G60 BEAR PREMIUM GNL",235,0,0,0,0,0,0,STARVE ZERO
"FLAP DISK 4"" G60 BEARFORCE","2,148",0,860,0,0,0,0,STARVE CRITICAL
"FLAP DISK 4"" G60 DURAKUT",13,0,0,0,0,0,0,STARVE ZERO
"FLAP DISK 4"" G60 FLEX DURAKUT",3,0,0,0,0,0,0,STARVE ZERO
"FLAP DISK 4"" G60 GOLD DURAKUT",30,0,20,0,0,0,0,STARVE WATCH
"FLAP DISK 4"" G60 JOHNOAKEY",328,0,290,0,0,0,0,STARVE WATCH
"FLAP DISK 4"" G60 METAL GNL",45,0,13,0,0,0,0,STARVE CRITICAL
"FLAP DISK 4"" G60 NEW JOHNOAKEY",317,0,0,0,0,0,0,STARVE ZERO
"FLAP DISK 4"" G60 PROFESSIONAL METAL DURAKUT",158,0,0,0,0,0,0,STARVE ZERO
"FLAP DISK 4"" G60 SUPERON",8,0,10,0,0,0,0,STARVE WATCH
"FLAP DISK 4"" G80 BEARFORCE","2,385",0,40,0,0,0,0,STARVE CRITICAL
"FLAP DISK 4"" G80 JK",63,0,30,0,0,0,0,STARVE CRITICAL
"FLAP DISK 4"" G80 JOHNOAKEY",373,0,140,0,0,0,0,STARVE CRITICAL
"FLAP DISK 4"" G80 METAL GNL",50,0,5,0,0,0,0,STARVE CRITICAL
"FLAP DISK 4""G80 CARBORUNDUM",17,0,20,0,0,0,0,STARVE WATCH
"FLAP DISK 5"" G80 CHAMP",53,0,31,0,0,0,0,STARVE CRITICAL
"FLAP DISK 5"" G80 POLYMAK",813,0,0,0,0,0,0,STARVE ZERO
FLAP WHEEL 150 X 25 G220 SPITFIRE GNL,33,0,10,0,0,0,0,STARVE CRITICAL
FLAP WHEEL 150 X 25 G60 BEAR PREMIUM GNL,10,0,10,0,0,0,0,STARVE WATCH
FLAP WHEEL 150 X 25 X 31.75 G120 SPITFIRE GNL,17,0,0,0,0,0,0,STARVE ZERO
FLAP WHEEL 150 X 40 X 31.75 G60 GNL,13,0,7,0,0,0,0,STARVE WATCH
FLAP WHEEL 150 X 50 G120 SPITFIRE GNL,2,0,0,0,0,0,0,STARVE ZERO
FLAP WHEEL 150 X 50 G220 SPITFIRE GNL,2,0,0,0,0,0,0,STARVE ZERO
FLAT WOODRASPS FILE 250 BAST JK,0,0,0,0,0,0,0,STARVE ZERO
FLEX KWIK 20 GM PIDILITE,139,0,52,0,0,0,0,STARVE CRITICAL
GAS REGULATOR NITROGEN (AGNI),0,0,0,0,0,0,0,STARVE ZERO
GEAR FOR (CC14STD) HIKOKI,1,0,0,0,0,0,0,STARVE ZERO
GRANITE SURFACE PLATE 630 X 630 WITH STAND,0,0,0,0,0,0,0,STARVE ZERO
GREASE GUN G506,5,0,0,0,0,0,0,STARVE ZERO
GREASE SKF,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 150 X 13 X 31.75 MEDIUM BLACK GNL,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 150 X 20 X 31.75 38 AA60 WHITE GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 150 X 25 X 31.75 MEDIUM GNL,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 150 X 3 X 31.75 AA120 CARBORUNDUM,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 150 X 6 X 31.75 AA60 GNL,4,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 180 X 6 X 31.75 AA60 WHITE,6,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 13 X 31.75 AA46/54 CARBORUNDUM,10,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 13 X 31.75 AA46/54 ORIENT,86,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 13 X 31.75 AA46/54K XY WHITE,0,0,1,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 13 X 31.75 FINE BLACK GNL,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 20 X 31.75 A46/54 WHITE ORIENT,2,0,12,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 20 X 31.75 A46/54 WHITE PERFORMER,11,0,9,0,0,0,0,STARVE WATCH
GRINDING WHEEL 200 X 20 X 31.75 AA46/54 CARBORUNDUM,0,0,1,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 20 X 31.75 AA46/54 WHITE XY DURAKUT,35,0,10,0,0,0,0,STARVE CRITICAL
GRINDING WHEEL 200 X 20 X 31.75 AA46/64 PINK XP GNL,8,0,3,0,0,0,0,STARVE CRITICAL
GRINDING WHEEL 200 X 25 X 31.75 39C60 GREEN GNL,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 200 X 25 X 31.75 FINE BLACK CARBORUNDUM,6,0,2,0,0,0,0,STARVE CRITICAL
GRINDING WHEEL 220 X 150 X 100 44AM120 -86A80J10VS3 DP18 03 START XTRIMIUM GNL,5,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 220 X 150 X 100 44AM120 -86A80J10VS3 DP20 03 START XTRIMIUM GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 220 X 150 X 100 44AM120 -86A80J10VS3 DP24 03 START  XTRIMIUM GNL,2,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 220 X 150 X 100 44AM120 -86A80J10VS3 DP28 03 START XTRIMIUM GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 220 X 150 X 100 44AM120 -86A80J10VS3 DP32 1.8 START  XTRIMIUM GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 300 X 25 X 31.75SUPERLIFE COARSE GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 300 X 25 X 76.2 A60 L5VC3 GNL,4,0,1,0,0,0,0,STARVE CRITICAL
GRINDING WHEEL 300 X 40 X 127 A46 GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 100 X 127 A60 LVN GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 100 X 152.4 A60 MV GNL,8,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 25 X 127 A60 N5VMSC GNL,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 40 X 127 A46 GNL,15,0,2,0,0,0,0,STARVE CRITICAL
GRINDING WHEEL 350 X 50 X 127 A60 N5VMS GNL,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 50 X 50.8 A24 (V319) GNL,14,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 50 X 50.8 A24 CARBORUNDUM,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 350 X 50 X 50.8 CGC 60 CARBORUNDUM,1,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 400 X 50 X 50.8 A24 GNL,12,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 500 X 20 X 150_SG150 XTRIMIUM GNL,0,0,0,0,0,0,0,STARVE ZERO
GRINDING WHEEL 500 X 40 X 203.2 GNL,0,0,0,0,0,0,0,STARVE ZERO
GUN METAl SOLID ROD DIA 30 mm,1,0,0,0,0,0,0,STARVE ZERO
HALF ROUND FILE 100 BAST JK,15,0,6,0,0,0,0,STARVE CRITICAL
HALF ROUND FILE 250 SMOOTH JK,3,0,3,0,0,0,0,STARVE WATCH
HAMMER,0,0,2,0,0,0,0,STARVE ZERO
HAMMER 1 KG 2.5 LB,3,0,1,0,0,0,0,STARVE CRITICAL
HAMMER 3 KG 6 LB,0,0,0,0,0,0,0,STARVE ZERO
HAMMER DRILL 10 X 210,2,0,1,0,0,0,0,STARVE WATCH
HAMMER DRILL 14 X 210 GNL,1,0,0,0,0,0,0,STARVE ZERO
HAMMER DRILL 22 X 310 TAPARIA,0,0,0,0,0,0,0,STARVE ZERO
HAMMER DRILL 6 X 110 TAPARIA,0,0,0,0,0,0,0,STARVE ZERO
HAND PAD,"4,230",0,"1,415",0,0,0,0,STARVE CRITICAL
HAND PAD HX01 GNL,17,0,0,0,0,0,0,STARVE ZERO
HAND PAD HX1095 GNL,121,0,47,0,0,0,0,STARVE CRITICAL
"HEX BOLT 1/4 X 1""",3,0,0,0,0,0,0,STARVE ZERO
HEX BOLT 10 X 50 MFL,3,0,0,0,0,0,0,STARVE ZERO
"HEX BOLT 5/16 X 6""",2,0,0,0,0,0,0,STARVE ZERO
HEX NUT 10,83,0,50,0,0,0,0,STARVE ZERO
HEX NUT 10 MFL,"1,469",0,14,0,0,0,0,STARVE CRITICAL
HEX NUT 12,17,0,50,0,0,0,0,STARVE ZERO
HEX NUT 12 MFL,767,0,0,0,0,0,0,STARVE ZERO
HEX NUT 16 MFL,250,0,0,0,0,0,0,STARVE ZERO
HEX NUT 20 MFL,100,0,0,0,0,0,0,STARVE ZERO
"HEX NUT 3/16""",42,0,50,0,0,0,0,STARVE WATCH
HEX NUT 6 MFL,"1,285",0,0,0,0,0,0,STARVE ZERO
HEX NUT 8 MFL,"1,713",0,0,0,0,0,0,STARVE ZERO
"HIGH TENSILE HEX BOLT 1/2"" X 6",3,0,0,0,0,0,0,STARVE ZERO
"HIGH TENSILE HEX BOLT 3/8 X 4""",8,0,0,0,0,0,0,STARVE ZERO
"HIGH TENSILE HEX BOLT 5/16 X 4""",3,0,0,0,0,0,0,STARVE ZERO
"HIGH TENSILE HEX BOLT 5/8 X 8""",7,0,4,0,0,0,0,STARVE CRITICAL
"HIGH TENSILE HEX NUT 3/8""",25,0,0,0,0,0,0,STARVE ZERO
"HIGH TENSILE HEX NUT 5/8""",5,0,0,0,0,0,0,STARVE ZERO
HOLESAW CUTTER 19 MAGICUT,1,0,0,0,0,0,0,STARVE ZERO
HOLESAW CUTTER 25 BIPICO,3,0,1,0,0,0,0,STARVE CRITICAL
HOLESAW CUTTER 25 MAGICUT,1,0,0,0,0,0,0,STARVE ZERO
HOLESAW CUTTER 32 MAGICUT,1,0,0,0,0,0,0,STARVE ZERO
