stock_item_name,reason
HSS DRILL 8.2 TOTEM,not a tap
HSS DRILL 8.3 TOTEM,not a tap
HSS DRILL 8.4 TOTEM,not a tap
HSS DRILL 8.5 TOTEM,not a tap
HSS DRILL 8.6 TOTEM,not a tap
HSS DRILL 8.7 TOTEM,not a tap
HSS DRILL 8.8 TOTEM,not a tap
HSS DRILL 8.9 TOTEM,not a tap
HSS DRILL 9 TOTEM,not a tap
HSS DRILL 9.1 TOTEM,not a tap
HSS DRILL 9.2 TOTEM,not a tap
HSS DRILL 9.3 TOTEM,not a tap
HSS DRILL 9.4 TOTEM,not a tap
HSS DRILL 9.5 TOTEM,not a tap
HSS DRILL 9.6 TOTEM,not a tap
HSS DRILL 9.7 TOTEM,not a tap
HSS DRILL 9.8 TOTEM,not a tap
HSS DRILL 9.9 TOTEM,not a tap
"HSS DRILL 9/32"" (7.14) TOTEM",not a tap
HSS DRILL 9/64 (3.57) TOTEM,not a tap
HSS EXTRA LONG DRILL 10 X 250 TOTEM,not a tap
HSS EXTRA LONG DRILL 10 X 300 TOTEM,not a tap
HSS EXTRA LONG DRILL 10.5 X 250 TOTEM,not a tap
HSS EXTRA LONG DRILL 11 X 300 TOTEM,not a tap
HSS EXTRA LONG DRILL 12 X 250 TOTEM,not a tap
HSS EXTRA LONG DRILL 3 X 150 TOTEM,not a tap
HSS EXTRA LONG DRILL 4 X 150 TOTEM,not a tap
HSS EXTRA LONG DRILL 6 X 200 TOTEM,not a tap
HSS EXTRA LONG DRILL 7 X 300 TOTEM,not a tap
HSS EXTRA LONG DRILL 8 X 200 TOTEM,not a tap
HSS EXTRA LONG DRILL 8 X 250 TOTEM,not a tap
HSS EXTRA LONG DRILL 8 X 300 TOTEM,not a tap
HSS EXTRA LONG DRILL 9 X 300 TOTEM,not a tap
"HSS LH DIE 1/4"" BSW TOTEM",not a tap
HSS LH DIE 10 X 1 TOTEM,not a tap
HSS LH DIE 10 X 1.25 TOTEM,not a tap
HSS LH DIE 10 X 1.5 TOTEM,not a tap
HSS LH DIE 12 X 1.75 TOTEM,not a tap
HSS LH DIE 14 X 2 TOTEM,not a tap
HSS LH DIE 16 X 1.5 TOTEM,not a tap
HSS LH DIE 16 X 2 TOTEM,not a tap
HSS LH DIE 20 X 2.5 TOTEM,not a tap
"HSS LH DIE 3/16"" BSW TOTEM",not a tap
HSS LH DIE 5 X .8 TOTEM,not a tap
HSS LH DIE 6 X 1 TOTEM,not a tap
HSS LH DIE 8 X 1.25 TOTEM,not a tap
HSS LH TAB 24 X 3 SET TOTEM,not a tap
HSS LH TAP 10 X 1.25 SPIREX TOTEM,"SPIREX: page 11 HSSE grid, not matched yet"
HSS LONG DRILL 1.5 TOTEM,not a tap
HSS LONG DRILL 1.9 TOTEM,not a tap
HSS LONG DRILL 10 TOTEM,not a tap
HSS LONG DRILL 10.2 TOTEM,not a tap
HSS LONG DRILL 10.3 TOTEM,not a tap
HSS LONG DRILL 11.2 TOTEM,not a tap
HSS LONG DRILL 12 TOTEM,not a tap
HSS LONG DRILL 12.5 TOTEM,not a tap
HSS LONG DRILL 13 TOTEM,not a tap
HSS LONG DRILL 2 TOTEM,not a tap
HSS LONG DRILL 2.1 TOTEM,not a tap
HSS LONG DRILL 2.2 TOTEM,not a tap
HSS LONG DRILL 2.5 TOTEM,not a tap
HSS LONG DRILL 2.6 TOTEM,not a tap
HSS LONG DRILL 2.8 TOTEM,not a tap
HSS LONG DRILL 3 TOTEM,not a tap
HSS LONG DRILL 3.1 TOTEM,not a tap
HSS LONG DRILL 3.2 TOTEM,not a tap
HSS LONG DRILL 3.3 TOTEM,not a tap
HSS LONG DRILL 3.5 TOTEM,not a tap
HSS LONG DRILL 3.7 TOTEM,not a tap
HSS LONG DRILL 3.8 TOTEM,not a tap
HSS LONG DRILL 3.9 TOTEM,not a tap
HSS LONG DRILL 4 TOTEM,not a tap
HSS LONG DRILL 4.1 TOTEM,not a tap
HSS LONG DRILL 4.2 TOTEM,not a tap
HSS LONG DRILL 4.5 TOTEM,not a tap
HSS LONG DRILL 4.7 TOTEM,not a tap
HSS LONG DRILL 4.8 TOTEM,not a tap
HSS LONG DRILL 4.9 TOTEM,not a tap
HSS LONG DRILL 5 TOTEM,not a tap
HSS LONG DRILL 5.2 TOTEM,not a tap
HSS LONG DRILL 5.8 TOTEM,not a tap
HSS LONG DRILL 5.9 TOTEM,not a tap
HSS LONG DRILL 6 TOTEM,not a tap
HSS LONG DRILL 6.3 TOTEM,not a tap
HSS LONG DRILL 6.7 TOTEM,not a tap
HSS LONG DRILL 6.8 TOTEM,not a tap
HSS LONG DRILL 7.2 TOTEM,not a tap
HSS LONG DRILL 7.5 TOTEM,not a tap
HSS LONG DRILL 8 TOTEM,not a tap
HSS LONG DRILL 8.5 TOTEM,not a tap
HSS LONG DRILL 8.7 TOTEM,not a tap
HSS LONG TAP 12 X 1.75 SC4 TOTEM,"Silver Cut grade SC4: p12-28, not matched yet"
HSS LONG TAP 26 X 1.5 TYPE C TOTEM,no cell: Metric Coarse 26 X 1.5 Standard
HSS LONG TAP 6 X 1 SC4 TOTEM,"Silver Cut grade SC4: p12-28, not matched yet"
HSS LONG TAP 8 X 1.25 SC4 TOTEM,"Silver Cut grade SC4: p12-28, not matched yet"
HSS M35 DRILL 12.5 TOTEM,not a tap
HSS M35 DRILL 2.5 TOTEM,not a tap
HSS M35 DRILL 3 TOTEM,not a tap
HSS M35 DRILL 4 TOTEM,not a tap
"HSS ROUND DIE 1-1/2"" BSP OD 4"" TOTEM",not a tap
"HSS ROUND DIE 1-1/2"" BSPT OD 4"" TOTEM",not a tap
"HSS ROUND DIE 1-1/2"" BSW TOTEM",not a tap
"HSS ROUND DIE 1-1/4"" BSP OD3"" TOTEM",not a tap
"HSS ROUND DIE 1-1/4"" BSW TOTEM",not a tap
"HSS ROUND DIE 1-1/4"" NPT OD3"" TOTEM",not a tap
"HSS ROUND DIE 1"" BSP TOTEM",not a tap
"HSS ROUND DIE 1"" BSPT OD3"" TOTEM",not a tap
"HSS ROUND DIE 1"" BSW OD 2"" TOTEM",not a tap
"HSS ROUND DIE 1"" NPT TOTEM",not a tap
"HSS ROUND DIE 1/2"" BSF TOTEM",not a tap
"HSS ROUND DIE 1/2"" BSP OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 1/2"" BSP OD 2"" TOTEM",not a tap
"HSS ROUND DIE 1/2"" BSPT OD 2"" TOTEM",not a tap
"HSS ROUND DIE 1/2"" BSW OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 1/2"" BSW TOTEM",not a tap
"HSS ROUND DIE 1/2"" NPT OD 2"" TOTEM",not a tap
"HSS ROUND DIE 1/2"" NPT TOTEM",not a tap
"HSS ROUND DIE 1/2"" UNC OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 1/2"" UNF OD 1-1/2"" TOTEM",not a tap
"HSS ROUND DIE 1/4"" BSP TOTEM",not a tap
"HSS ROUND DIE 1/4"" BSPT TOTEM",not a tap
"HSS ROUND DIE 1/4"" BSW OD 1"" TOTEM",not a tap
"HSS ROUND DIE 1/4"" BSW TOTEM",not a tap
"HSS ROUND DIE 1/4"" NPT TOTEM",not a tap
"HSS ROUND DIE 1/4"" UN TOTEM",not a tap
"HSS ROUND DIE 1/4"" UNC TOTEM",not a tap
"HSS ROUND DIE 1/4"" UNF OD 1"" TOTEM",not a tap
"HSS ROUND DIE 1/8"" BSP TOTEM",not a tap
"HSS ROUND DIE 1/8"" BSPT OD1"" TOTEM",not a tap
"HSS ROUND DIE 1/8"" BSW TOTEM",not a tap
"HSS ROUND DIE 1/8"" NPT TOTEM",not a tap
HSS ROUND DIE 10 X 1 TOTEM,not a tap
