stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
"HSS TAP 7/8"" BSP BOT TOTEM",4159.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4159.0,1.0,BSP,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" BSP PAIR TOTEM",8318.0,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4159.0,2.0,BSP,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" BSW BOT TOTEM",2892.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,1.0,BSW/BSF,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" BSW SEC TOTEM",2892.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,1.0,BSW/BSF,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" BSW SET TOTEM",8676.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,3.0,BSW/BSF,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" UNC BOT TOTEM",2892.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,1.0,UNF/UNC,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" UNC SEC TOTEM",2892.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,1.0,UNF/UNC,7/8,Standard,,review,,2026-08-10T16:28:57.046883+00:00
"HSS TAP 7/8"" UNC SET TOTEM",8676.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,3.0,UNF/UNC,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" UNF BOT TOTEM",2892.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,1.0,UNF/UNC,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
"HSS TAP 7/8"" UNF SET TOTEM",8676.0,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2892.0,3.0,UNF/UNC,7/8,Standard,,verified,,2026-08-10T11:02:26.42234+00:00
