stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note,updated_at
CARBON TAP 3 X .5 SET TOTEM,1170.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,3.0,Metric Coarse,3.0 X 0.50,Standard,,review,,2026-08-10T16:28:56.058382+00:00
"CARBON TAP 3/8"" BSP BOT TOTEM",1501.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1501.0,1.0,BSP,3/8,Standard,,review,,2026-08-10T16:28:56.058382+00:00
CARBON TAP 5 X .8 TPR TOTEM,419.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,5.0 X 0.80,Standard,,review,,2026-08-10T16:28:56.058382+00:00
"CARBON TAP 5/32"" BSW BOT TOTEM",407.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,407.0,1.0,BSW/BSF,5/32,Standard,,review,,2026-08-10T16:28:56.058382+00:00
HSS  LH TAP 27 X 3 BOT TOTEM,6473.25,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.0,1.0,Metric Coarse,27.0 X 3.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1-1/4"" UNC BOT TOTEM",7917.75,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.0,1.0,UNF/UNC,"1.1/4""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1-1/4"" UNC SEC TOTEM",7917.75,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.0,1.0,UNF/UNC,"1.1/4""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1"" UNC BOT TOTEM",4889.7,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.0,1.0,UNF/UNC,"1""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 1"" UNC TPR TOTEM",4889.7,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.0,1.0,UNF/UNC,"1""",Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 10 X 1 BOT TOTEM,915.3,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,678.0,1.0,Metric Coarse,10.0 X 1.00/1.25,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 10 X 1.5 BOT TOTEM,822.15,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 10 X 1.5 SEC TOTEM,822.15,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 10 X 1.5 SET TOTEM,2466.45,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,3.0,Metric Coarse,10.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 10 X 1.5 SPPT TOTEM,1008.45,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,747.0,1.0,Metric Coarse,10.0 X 1.50,SPPT,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T16:28:56.058382+00:00
HSS LH TAP 10 X 1.5 TOTEM,822.15,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T16:28:56.058382+00:00
HSS LH TAP 10 X 1.5 TPR TOTEM,822.15,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 12 X 1.75 BOT TOTEM,1278.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.0,1.0,Metric Coarse,12.0 X 1.75,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 12 X 1.75 SEC TOTEM,1278.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.0,1.0,Metric Coarse,12.0 X 1.75,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 12 X 1.75 SET TOTEM,3835.35,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.0,3.0,Metric Coarse,12.0 X 1.75,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 12 X 1.75 TPR TOTEM,1278.45,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,947.0,1.0,Metric Coarse,12.0 X 1.75,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 14 X 1.5 BOT TOTEM,1864.35,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,14.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 14 X 1.5 TPR TOTEM,1864.35,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,14.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 14 X 2 BOT TOTEM,1860.3,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,1.0,Metric Coarse,14.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 16 X 1.5 BOT TOTEM,1864.35,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,16.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 16 X 1.5 TPR TOTEM,1864.35,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,16.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 16 X 2 BOT TOTEM,1860.3,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,1.0,Metric Coarse,16.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 16 X 2 SEC TOTEM,1860.3,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,1.0,Metric Coarse,16.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 16 X 2 SET TOTEM,5580.9,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,3.0,Metric Coarse,16.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 16 X 2 TPR TOTEM,1860.3,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,1.0,Metric Coarse,16.0 X 2.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T16:28:56.058382+00:00
HSS LH TAP 16X2 TPR TOTEM,1860.3,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,1378.0,1.0,Metric Coarse,16.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 18 X 1.5 BOT TOTEM,3195.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2367.0,1.0,Metric Coarse,18.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 18 X 2.5 BOT TOTEM,2808.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2080.0,1.0,Metric Coarse,18.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 18 X 2.5 SEC TOTEM,2808.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2080.0,1.0,Metric Coarse,18.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 18 X 2.5 SET TOTEM,8424.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2080.0,3.0,Metric Coarse,18.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 1.5 BOT TOTEM,4044.6,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2996.0,1.0,Metric Coarse,20.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 1.5 TYPE C TOTEM,4044.6,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2996.0,1.0,Metric Coarse,20.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 2.5 BOT TOTEM,3580.2,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.0,1.0,Metric Coarse,20.0 X 2.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 2.5 GOLD TOTEM,4573.8,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,3388.0,1.0,Metric Coarse,20.0 X 2.50,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 2,970.00 != list 4,573.80",2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 2.5 SEC TOTEM,3580.2,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.0,1.0,Metric Coarse,20.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 2.5 SET TOTEM,10740.6,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.0,3.0,Metric Coarse,20.0 X 2.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 2.5 TOTEM,3580.2,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.0,1.0,Metric Coarse,20.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 20 X 2.5 TPR TOTEM,3580.2,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.0,1.0,Metric Coarse,20.0 X 2.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 22 X 2.5 GOLD TOTEM,4445.55,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,3293.0,1.0,Metric Coarse,22.0 X 2.50,STD GOLD,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 1.5 BOT TOTEM,4823.55,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3573.0,1.0,Metric Coarse,24.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 1.5 SEC TOTEM,4823.55,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3573.0,1.0,Metric Coarse,24.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 2 BOT TOTEM,4797.9,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3554.0,1.0,Metric Coarse,24.0 X 2.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 2 PAIR TOTEM,9595.8,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3554.0,2.0,Metric Coarse,24.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 3 BOT TOTEM,4275.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.0,1.0,Metric Coarse,24.0 X 3.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 3 GOLD TOTEM,5020.65,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,3719.0,1.0,Metric Coarse,24.0 X 3.00,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 4,276.00 != list 5,020.65",2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 3 SEC TOTEM,4275.45,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.0,1.0,Metric Coarse,24.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 3 SET TOTEM,12826.35,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.0,3.0,Metric Coarse,24.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 24 X 3 TPR TOTEM,4275.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.0,1.0,Metric Coarse,24.0 X 3.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 27 X 3 GOLD TOTEM,7323.75,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,5425.0,1.0,Metric Coarse,27.0 X 3.00,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 3,495.56 != list 7,323.75",2026-08-10T11:02:25.556889+00:00
HSS LH TAP 27 X 3 SEC TOTEM,6473.25,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.0,1.0,Metric Coarse,27.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 27X3 TPR TOTEM,6473.25,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.0,1.0,Metric Coarse,27.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T16:28:56.058382+00:00
HSS LH TAP 3 X .5 BOT TOTEM,526.5,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,1.0,Metric Coarse,3.0 X 0.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
"HSS LH TAP 3/8"" BSW BOT TOTEM",789.75,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,585.0,1.0,BSW/BSF,3/8,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 30 X 3.5 BOT TOTEM,7236.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.0,1.0,Metric Coarse,30.0 X 3.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 30 X 3.5 GOLD TOTEM,8116.2,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,6012.0,1.0,Metric Coarse,30.0 X 3.50,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 3,827.00 != list 8,116.20",2026-08-10T11:02:25.556889+00:00
HSS LH TAP 30 X 3.5 SEC TOTEM,7236.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.0,1.0,Metric Coarse,30.0 X 3.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 30 X 3.5 SET GOLD TOTEM,24348.6,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,6012.0,3.0,Metric Coarse,30.0 X 3.50,STD GOLD,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 30 X 3.5 TPR TOTEM,7236.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.0,1.0,Metric Coarse,30.0 X 3.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 4 X .7 BOT TOTEM,526.5,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,1.0,Metric Coarse,4.0 X 0.70,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 4 X .7 SET TOTEM,1579.5,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.0,3.0,Metric Coarse,4.0 X 0.70,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 5 X .8 BOT TOTEM,565.65,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,5.0 X 0.80,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 5 X .8 SET TOTEM,1696.95,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,3.0,Metric Coarse,5.0 X 0.80,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 967.29 != list 1,696.95",2026-08-10T11:02:25.556889+00:00
HSS LH TAP 6 X 1 BOT TOTEM,565.65,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,6.0 X 1.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 6 X 1 SEC TOTEM,565.65,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,1.0,Metric Coarse,6.0 X 1.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 6 X 1 SET TOTEM,1696.95,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.0,3.0,Metric Coarse,6.0 X 1.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 6 X 1 SPPT TOTEM,699.3,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,518.0,1.0,Metric Coarse,6.0 X 1.00,SPPT,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 8 X 1.25 BOT TOTEM,680.4,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 8 X 1.25 SET TOTEM,2041.2,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,3.0,Metric Coarse,8.0 X 1.25,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LH TAP 8 X 1.25 SPFL TOTEM,680.4,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.0,1.0,Metric Coarse,8.0 X 1.25,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LONG LH TAP 14 X 1.5 TYPE C TOTEM,1864.35,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,14.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LONG LH TAP 16 X 1.5 TYPE C TOTEM,1864.35,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,1381.0,1.0,Metric Coarse,16.0 X 1.50,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 2,371.00 != list 1,864.35",2026-08-10T11:02:25.556889+00:00
HSS LONG LH TAP 18 X 1.5 TYPE C TOTEM,3195.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2367.0,1.0,Metric Coarse,18.0 X 1.50,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 3,989.00 != list 3,195.45",2026-08-10T11:02:25.556889+00:00
HSS LONG LH TAP 20 X 1.5 TYPE C TOTEM,4044.6,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,2996.0,1.0,Metric Coarse,20.0 X 1.50,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 5,196.15 != list 4,044.60",2026-08-10T16:28:56.058382+00:00
HSS LONG LH TAP 22 X 2.5 TYPE C TOTEM,3838.05,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2843.0,1.0,Metric Coarse,22.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27),2026-08-10T11:02:25.556889+00:00
HSS LONG LH TAP 24 X 3 TYPE C TOTEM,4275.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.0,1.0,Metric Coarse,24.0 X 3.00,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 5,566.00 != list 4,275.45",2026-08-10T11:02:25.556889+00:00
HSS LONG LH TAP 27 X 3 TYPE C TOTEM,6473.25,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.0,1.0,Metric Coarse,27.0 X 3.00,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 8,004.00 != list 6,473.25",2026-08-10T11:02:25.556889+00:00
"HSS LONG TAP 1/8"" BSP TOTEM",671.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,671.0,1.0,BSP,1/8,Standard,,review,,2026-08-10T11:02:25.556889+00:00
HSS LONG TAP 10 X 1 TYPE C TOTEM,678.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,678.0,1.0,Metric Coarse,10.0 X 1.00/1.25,Standard,,review,invoice rate 988.00 != list 678.00,2026-08-10T11:02:25.556889+00:00
HSS LONG TAP 10 X 1.5 SC4 TOTEM,609.0,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,review,,2026-08-10T16:28:56.058382+00:00
HSS LONG TAP 10 X 1.5 TYPE B TOTEM,609.0,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,609.0,1.0,Metric Coarse,10.0 X 1.50,Standard,,review,"invoice rate 1,095.00 != list 609.00",2026-08-10T11:02:25.556889+00:00
