stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note
HSS LONG TAP 27 X 3 TYPE C TOTEM,4795.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.00,1,Metric Coarse,27.0 X 3.00,Standard,,review,"invoice rate 5,929.00 != list 4,795.00"
HSS LONG TAP 3 X .5 TYPE C TOTEM,390.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.00,1,Metric Coarse,3.0 X 0.50,Standard,,review,invoice rate 859.00 != list 390.00
HSS LONG TAP 3.5 X .6 TYPE C TOTEM,390.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.00,1,Metric Coarse,3.5 X 0.60,Standard,,review,
HSS LONG TAP 30 X 1.5 TYPE C TOTEM,6002.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,6002.00,1,Metric Coarse,30.0 X 1.50/2.00,Standard,,review,"invoice rate 7,878.00 != list 6,002.00"
HSS LONG TAP 30 X 3.5 TYPE C TOTEM,5360.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.00,1,Metric Coarse,30.0 X 3.50,Standard,,review,
HSS LONG TAP 36 X 1.5 TYPE C TOTEM,10167.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,10167.00,1,Metric Coarse,36.0 X 1.50/2.50/3.00,Standard,,review,"invoice rate 13,114.00 != list 10,167.00"
HSS LONG TAP 4 X .7 TYPE C TOTEM,390.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.00,1,Metric Coarse,4.0 X 0.70,Standard,,review,invoice rate 859.00 != list 390.00
HSS LONG TAP 5 X .8 TYPE C GOLD TOTEM,510.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,510.00,1,Metric Coarse,5.0 X 0.80,STD GOLD,,review,
HSS LONG TAP 5 X .8 TYPE C TOTEM,419.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,5.0 X 0.80,Standard,,review,invoice rate 616.00 != list 419.00
HSS LONG TAP 6 X .75 TYPE C TOTEM,570.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,570.00,1,Metric Coarse,6.0 X 0.75,Standard,,review,
HSS LONG TAP 6 X 1 6G TYPE C GOLD TOTEM,510.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,510.00,1,Metric Coarse,6.0 X 1.00,STD GOLD,,review,invoice rate 346.00 != list 510.00
HSS LONG TAP 6 X 1 SC4 TOTEM,419.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,6.0 X 1.00,Standard,,review,
HSS LONG TAP 6 X 1 TYPE B TOTEM,419.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,6.0 X 1.00,Standard,,review,invoice rate 806.00 != list 419.00
HSS LONG TAP 6 X 1 TYPE C GOLD TOTEM,510.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,510.00,1,Metric Coarse,6.0 X 1.00,STD GOLD,,review,
HSS LONG TAP 6 X 1 TYPE C TOTEM,419.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,6.0 X 1.00,Standard,,review,invoice rate 662.00 != list 419.00
HSS LONG TAP 7 X 1 TYPE C TOTEM,535.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,535.00,1,Metric Coarse,7.0 X 1.00,Standard,,review,
HSS LONG TAP 8 X 1 TYPE C TOTEM,597.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,597.00,1,Metric Coarse,8.0 X 1.00,Standard,,review,invoice rate 791.00 != list 597.00
HSS LONG TAP 8 X 1.25 SC4 TOTEM,504.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.00,1,Metric Coarse,8.0 X 1.25,Standard,,review,
HSS LONG TAP 8 X 1.25 TYPE B TOTEM,504.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.00,1,Metric Coarse,8.0 X 1.25,Standard,,review,invoice rate 878.00 != list 504.00
HSS LONG TAP 8 X 1.25 TYPE C GOLD TOTEM,575.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,575.00,1,Metric Coarse,8.0 X 1.25,STD GOLD,,review,
HSS LONG TAP 8 X 1.25 TYPE C TOTEM,504.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.00,1,Metric Coarse,8.0 X 1.25,Standard,,review,invoice rate 718.00 != list 504.00
HSS TAP  6 X 1 6G BOT TOTEM,419.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,6.0 X 1.00,Standard,,review,
HSS TAP 0 BA BOT TOTEM,507.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,507.00,1,BA,0,Standard,,review,
HSS TAP 1 BA BOT TOTEM,507.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,507.00,1,BA,1,Standard,,verified,
HSS TAP 1 BA SPIREX GOLD TOTEM,507.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,507.00,1,BA,1,Standard,,review,
"HSS TAP 1-1/2"" BSP BOT TOTEM",9833.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9833.00,1,BSP,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" BSP PAIR TOTEM",19666.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9833.00,2,BSP,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" BSP TPR TOTEM",9833.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9833.00,1,BSP,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" BSPT BOT TOTEM",12303.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12303.00,1,BSPT,"1.1/2""",Standard,,review,
"HSS TAP 1-1/2"" BSPT GOLD TOTEM",13890.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,8,13890.00,1,BSPT,"1.1/2""",STD GOLD,,review,
"HSS TAP 1-1/2"" BSPT PAIR TOTEM",24606.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12303.00,2,BSPT,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" BSW BOT TOTEM",9089.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,BSW/BSF,"1.1/2""",Standard,,review,
"HSS TAP 1-1/2"" BSW SEC TOTEM",9089.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,BSW/BSF,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" BSW SET TOTEM",27267.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,3,BSW/BSF,"1.1/2""",Standard,,review,
"HSS TAP 1-1/2"" BSW TPR TOTEM",9089.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,BSW/BSF,"1.1/2""",Standard,,review,
"HSS TAP 1-1/2"" NPT BOT TOTEM",12760.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12760.00,1,NPT,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" NPT PAIR TOTEM",25520.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12760.00,2,NPT,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" NPT TPR TOTEM",12760.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12760.00,1,NPT,"1.1/2""",Standard,,review,
"HSS TAP 1-1/2"" UNC BOT TOTEM",9089.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,UNF/UNC,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" UNC SBF2 LHRH OAL 180 TOTEM",9089.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,UNF/UNC,"1.1/2""",Standard,,review,"invoice rate 14,350.00 != list 9,089.00"
"HSS TAP 1-1/2"" UNC SBF2 RHLH OAL 180 TOTEM",9089.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,UNF/UNC,"1.1/2""",Standard,,review,"invoice rate 13,020.00 != list 9,089.00"
"HSS TAP 1-1/2"" UNC SEC TOTEM",9089.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,UNF/UNC,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" UNC SET TOTEM",27267.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,3,UNF/UNC,"1.1/2""",Standard,,review,
"HSS TAP 1-1/2"" UNC TPR TOTEM",9089.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,UNF/UNC,"1.1/2""",Standard,,verified,
"HSS TAP 1-1/2"" UNF BOT TOTEM",9089.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,9089.00,1,UNF/UNC,"1.1/2""",Standard,,review,
"HSS TAP 1-1/4"" BSP BOT TOTEM",7884.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7884.00,1,BSP,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" BSP PAIR TOTEM",15768.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7884.00,2,BSP,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" BSP TPR TOTEM",7884.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7884.00,1,BSP,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" BSW BOT TOTEM",5865.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,BSW/BSF,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" BSW SEC TOTEM",5865.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,BSW/BSF,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" BSW SET TOTEM",17595.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,3,BSW/BSF,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" BSW TPR TOTEM",5865.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,BSW/BSF,"1.1/4""",Standard,,review,
"HSS TAP 1-1/4"" NPT BOT TOTEM",10287.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,10287.00,1,NPT,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" NPT PAIR TOTEM",20574.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,10287.00,2,NPT,"1.1/4""",Standard,,review,
"HSS TAP 1-1/4"" NPT TPR TOTEM",10287.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,10287.00,1,NPT,"1.1/4""",Standard,,review,
"HSS TAP 1-1/4"" UNC BOT TOTEM",5865.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,UNF/UNC,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" UNC SEC TOTEM",5865.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,UNF/UNC,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" UNC SET TOTEM",17595.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,3,UNF/UNC,"1.1/4""",Standard,,review,
"HSS TAP 1-1/4"" UNC TPR TOTEM",5865.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,UNF/UNC,"1.1/4""",Standard,,verified,
"HSS TAP 1-1/4"" UNF BOT TOTEM",5865.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5865.00,1,UNF/UNC,"1.1/4""",Standard,,review,
"HSS TAP 1-1/8"" BSW BOT TOTEM",4866.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4866.00,1,BSW/BSF,"1.1/8""",Standard,,review,
"HSS TAP 1-1/8"" BSW SET TOTEM",14598.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4866.00,3,BSW/BSF,"1.1/8""",Standard,,verified,
"HSS TAP 1-1/8"" UNC BOT TOTEM",4866.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4866.00,1,UNF/UNC,"1.1/8""",Standard,,verified,
"HSS TAP 1-1/8"" UNC SEC TOTEM",4866.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4866.00,1,UNF/UNC,"1.1/8""",Standard,,review,
"HSS TAP 1-1/8"" UNC TPR TOTEM",4866.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,4866.00,1,UNF/UNC,"1.1/8""",Standard,,verified,
HSS TAP 1-3/4 UNC BOT TOTEM,12861.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12861.00,1,UNF/UNC,"1.3/4""",Standard,,review,
"HSS TAP 1-3/4"" BSW BOT TOTEM",12861.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12861.00,1,BSW/BSF,"1.3/4""",Standard,,review,
"HSS TAP 1-3/4"" BSW SET TOTEM",38583.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12861.00,3,BSW/BSF,"1.3/4""",Standard,,review,
"HSS TAP 1-3/4"" BSW TPR TOTEM",12861.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12861.00,1,BSW/BSF,"1.3/4""",Standard,,review,
"HSS TAP 1-3/4"" UNC TPR TOTEM",12861.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12861.00,1,UNF/UNC,"1.3/4""",Standard,,review,
"HSS TAP 1-3/4"" UNF BOT TOTEM",12861.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,12861.00,1,UNF/UNC,"1.3/4""",Standard,,verified,
HSS TAP 1-3/8 BSW SET TOTEM,22689.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7563.00,3,BSW/BSF,"1.3/8""",Standard,,review,
"HSS TAP 1-3/8"" UNC SET TOTEM",22689.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7563.00,3,UNF/UNC,"1.3/8""",Standard,,review,
"HSS TAP 1-5/8"" UNF BOT TOTEM",10659.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,10659.00,1,UNF/UNC,"1.5/8""",Standard,,review,
HSS TAP 1.4 X .35 BOT TOTEM,897.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,1,Metric Coarse,1.4 X 0.35,Standard,,verified,
HSS TAP 1.4 X .35 SET TOTEM,2691.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,3,Metric Coarse,1.4 X 0.35,Standard,,verified,
HSS TAP 1.6 X .35 BOT TOTEM,897.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,1,Metric Coarse,1.6 X 0.35,Standard,,review,
HSS TAP 1.6 X .35 SET TOTEM,2691.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,3,Metric Coarse,1.6 X 0.35,Standard,,verified,
HSS TAP 1.8 X .35 BOT TOTEM,897.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,1,Metric Coarse,1.8 X 0.35,Standard,,review,
HSS TAP 1.8 X .35 SET TOTEM,2691.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,3,Metric Coarse,1.8 X 0.35,Standard,,review,
HSS TAP 1.8 X .35 TPR TOTEM,897.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,897.00,1,Metric Coarse,1.8 X 0.35,Standard,,verified,
"HSS TAP 1"" BSF BOT TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,BSW/BSF,"1""",Standard,,review,
"HSS TAP 1"" BSF SET TOTEM",10866.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,3,BSW/BSF,"1""",Standard,,review,
"HSS TAP 1"" BSP BOT TOTEM",5257.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5257.00,1,BSP,"1""",Standard,,verified,
"HSS TAP 1"" BSP PAIR  TOTEM",10514.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5257.00,2,BSP,"1""",Standard,,verified,
"HSS TAP 1"" BSP TPR TOTEM",5257.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,5257.00,1,BSP,"1""",Standard,,verified,
"HSS TAP 1"" BSPT BOT TOTEM",7034.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7034.00,1,BSPT,"1""",Standard,,verified,
"HSS TAP 1"" BSPT PAIR TOTEM",14068.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7034.00,2,BSPT,"1""",Standard,,review,
"HSS TAP 1"" BSW BOT TOTEM",3622.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,BSW/BSF,"1""",Standard,,verified,
"HSS TAP 1"" BSW SEC TOTEM",3622.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,BSW/BSF,"1""",Standard,,verified,
"HSS TAP 1"" BSW SET TOTEM",10866.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,3,BSW/BSF,"1""",Standard,,verified,
"HSS TAP 1"" BSW TPR TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,BSW/BSF,"1""",Standard,,review,
"HSS TAP 1"" NPT BOT TOTEM",7206.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7206.00,1,NPT,"1""",Standard,,verified,
"HSS TAP 1"" NPT PAIR TOTEM",14412.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,7206.00,2,NPT,"1""",Standard,,verified,
"HSS TAP 1"" UNC BOT TOTEM",3622.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,verified,
"HSS TAP 1"" UNC SEC TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,review,
"HSS TAP 1"" UNC SERIAL FORM TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,review,
"HSS TAP 1"" UNC SET TOTEM",10866.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,3,UNF/UNC,"1""",Standard,,verified,
"HSS TAP 1"" UNC TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,review,
"HSS TAP 1"" UNC TPR TOTEM",3622.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,verified,
"HSS TAP 1"" UNF BOT TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,review,
"HSS TAP 1"" UNF SEC TOTEM",3622.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,verified,
"HSS TAP 1"" UNF TPR TOTEM",3622.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3622.00,1,UNF/UNC,"1""",Standard,,review,
"HSS TAP 1/2"" BSB BOT TOTEM",968.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,6,968.00,1,BSB,1/2,Standard,,review,
"HSS TAP 1/2"" BSB SET TOTEM",2904.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,6,968.00,3,BSB,1/2,Standard,,review,
"HSS TAP 1/2"" BSF SET TOTEM",2862.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,954.00,3,BSW/BSF,1/2,Standard,,review,
"HSS TAP 1/2"" BSP BOT TOTEM",2269.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2269.00,1,BSP,1/2,Standard,,verified,
"HSS TAP 1/2"" BSP PAIR TOTEM",4538.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2269.00,2,BSP,1/2,Standard,,verified,
"HSS TAP 1/2"" BSP SEC TOTEM",2269.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2269.00,1,BSP,1/2,Standard,,verified,
"HSS TAP 1/2"" BSP TPR TOTEM",2269.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,2269.00,1,BSP,1/2,Standard,,verified,
"HSS TAP 1/2"" BSPT BOT TOTEM",3057.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3057.00,1,BSPT,1/2,Standard,,review,"invoice rate 3,363.00 != list 3,057.00"
"HSS TAP 1/2"" BSPT PAIR TOTEM",6114.00,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,3057.00,2,BSPT,1/2,Standard,,verified,
"HSS TAP 1/2"" BSW BOT TOTEM",954.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,954.00,1,BSW/BSF,1/2,Standard,,verified,
"HSS TAP 1/2"" BSW SEC TOTEM",954.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,954.00,1,BSW/BSF,1/2,Standard,,verified,
"HSS TAP 1/2"" BSW SET TOTEM",2862.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,954.00,3,BSW/BSF,1/2,Standard,,verified,
"HSS TAP 1/2"" BSW SF SET TOTEM",3000.00,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,1000.00,3,BSW/BSF,1/2,SF/RS,,verified,
"HSS TAP 1/2"" BSW TPR TOTEM",954.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,954.00,1,BSW/BSF,1/2,Standard,,verified,
