stock_item_name,list_rate,unit,brand,doc_title,effective_from,storage_path,page_no,price_per_piece,pack_qty,thread_form,size,grade,edp_code,confidence,note
HSS LH TAP 20 X 2.5 SET TOTEM,10740.60,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.00,3,Metric Coarse,20.0 X 2.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 20 X 2.5 TOTEM,3580.20,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.00,1,Metric Coarse,20.0 X 2.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 20 X 2.5 TPR TOTEM,3580.20,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,2652.00,1,Metric Coarse,20.0 X 2.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 22 X 2.5 GOLD TOTEM,4445.55,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,3293.00,1,Metric Coarse,22.0 X 2.50,STD GOLD,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 1.5 BOT TOTEM,4823.55,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3573.00,1,Metric Coarse,24.0 X 1.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 1.5 SEC TOTEM,4823.55,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3573.00,1,Metric Coarse,24.0 X 1.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 2 BOT TOTEM,4797.90,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3554.00,1,Metric Coarse,24.0 X 2.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 2 PAIR TOTEM,9595.80,PAIR,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,5,3554.00,2,Metric Coarse,24.0 X 2.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 3 BOT TOTEM,4275.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.00,1,Metric Coarse,24.0 X 3.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 3 GOLD TOTEM,5020.65,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,3719.00,1,Metric Coarse,24.0 X 3.00,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 4,276.00 != list 5,020.65"
HSS LH TAP 24 X 3 SEC TOTEM,4275.45,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.00,1,Metric Coarse,24.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 3 SET TOTEM,12826.35,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.00,3,Metric Coarse,24.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 24 X 3 TPR TOTEM,4275.45,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,3167.00,1,Metric Coarse,24.0 X 3.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 27 X 3 GOLD TOTEM,7323.75,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,5425.00,1,Metric Coarse,27.0 X 3.00,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 3,495.56 != list 7,323.75"
HSS LH TAP 27 X 3 SEC TOTEM,6473.25,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.00,1,Metric Coarse,27.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 27X3 TPR TOTEM,6473.25,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,4795.00,1,Metric Coarse,27.0 X 3.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 3 X .5 BOT TOTEM,526.50,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.00,1,Metric Coarse,3.0 X 0.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
"HSS LH TAP 3/8"" BSW BOT TOTEM",789.75,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,3,585.00,1,BSW/BSF,3/8,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 30 X 3.5 BOT TOTEM,7236.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.00,1,Metric Coarse,30.0 X 3.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 30 X 3.5 GOLD TOTEM,8116.20,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,6012.00,1,Metric Coarse,30.0 X 3.50,STD GOLD,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 3,827.00 != list 8,116.20"
HSS LH TAP 30 X 3.5 SEC TOTEM,7236.00,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.00,1,Metric Coarse,30.0 X 3.50,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 30 X 3.5 SET GOLD TOTEM,24348.60,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,9,6012.00,3,Metric Coarse,30.0 X 3.50,STD GOLD,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 30 X 3.5 TPR TOTEM,7236.00,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,5360.00,1,Metric Coarse,30.0 X 3.50,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 4 X .7 BOT TOTEM,526.50,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.00,1,Metric Coarse,4.0 X 0.70,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 4 X .7 SET TOTEM,1579.50,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,390.00,3,Metric Coarse,4.0 X 0.70,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 5 X .8 BOT TOTEM,565.65,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,5.0 X 0.80,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 5 X .8 SET TOTEM,1696.95,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,3,Metric Coarse,5.0 X 0.80,Standard,,review,"Left-hand tap: list +35% per price-list note 4 (p.27) | invoice rate 967.29 != list 1,696.95"
HSS LH TAP 6 X 1 BOT TOTEM,565.65,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,6.0 X 1.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 6 X 1 SEC TOTEM,565.65,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,1,Metric Coarse,6.0 X 1.00,Standard,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 6 X 1 SET TOTEM,1696.95,SET,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,419.00,3,Metric Coarse,6.0 X 1.00,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 6 X 1 SPPT TOTEM,699.30,,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,518.00,1,Metric Coarse,6.0 X 1.00,SPPT,,review,Left-hand tap: list +35% per price-list note 4 (p.27)
HSS LH TAP 8 X 1.25 BOT TOTEM,680.40,NOS,TOTEM,TOTEM HSS Taps Price List,2024-01-08,price-lists/totem-hpt-2024-01-08.pdf,4,504.00,1,Metric Coarse,8.0 X 1.25,Standard,,verified,Left-hand tap: list +35% per price-list note 4 (p.27)
